Year,GP_per_team,num_teams,tot_games
1950,68,17,578
1951,68,11,374
1952,66,10,330
1953,70,10,350
1954,72,9,324
1955,72,8,288
1956,72,8,288
1957,72,8,288
1958,72,8,288
1959,72,8,288
1960,75,8,300
1961,79,8,316
1962,80,9,360
1963,80,9,360
1964,80,9,360
1965,80,9,360
1966,80,9,360
1967,81,10,405
1968,82,12,492
1969,82,14,574
1970,82,14,574
1971,82,17,697
1972,82,17,697
1973,82,17,697
1974,82,17,697
1975,82,18,738
1976,82,18,738
1977,82,22,902
1978,82,22,902
1979,82,22,902
1980,82,22,902
1981,82,23,943
1982,82,23,943
1983,82,23,943
1984,82,23,943
1985,82,23,943
1986,82,23,943
1987,82,23,943
1988,82,23,943
1989,82,25,1025
1990,82,27,1107
1991,82,27,1107
1992,82,27,1107
1993,82,27,1107
1994,82,27,1107
1995,82,27,1107
1996,82,29,1189
1997,82,29,1189
1998,82,29,1189
1999,50,29,725
2000,82,29,1189
2001,82,29,1189
2002,82,29,1189
2003,82,29,1189
2004,82,29,1189
2005,82,30,1230
2006,82,30,1230
2007,82,30,1230
2008,82,30,1230
2009,82,30,1230
2010,82,30,1230
2011,82,30,1230
2012,66,30,990
2013,82,30,1230
2014,82,30,1230
2015,82,30,1230
2016,82,30,1230
2017,82,30,1230
